elapsed_ms,ax,ay,az
90371,581,442,1390
90391,310,297,1732
90431,267,51,1899
90471,392,-64,1787
90511,401,12,1782
90551,427,107,1810
90591,440,101,1808
90631,457,85,1817
90696,421,243,1834
90711,417,334,1811
90751,460,195,1913
90791,509,93,1839
90831,362,209,1481
90874,292,300,1791
90922,156,-624,1842
90963,346,268,1669
90991,395,84,1674
91031,27,-658,2213
91112,350,41,1830
91122,320,6,1832
91151,332,-2,1783
91191,382,-38,1584
91231,35,284,2066
91271,104,-404,2165
91311,477,-57,1325
91351,100,-95,1791
91391,300,185,1959
91431,340,35,1827
91494,544,323,1843
91542,659,884,1816
91585,700,924,1602
91594,213,-1307,2315
91656,598,489,1656
91672,474,-54,1681
91712,576,431,1856
91752,450,543,1896
91792,442,21,1822
91832,246,499,1805
91904,441,295,1782
91913,475,258,1757
91952,472,595,1620
91992,-136,-439,2072
92032,395,156,1749
92072,542,505,1644
92112,397,429,1822
92152,316,78,1812
92197,387,681,1849
92244,578,96,1693
92336,332,-354,1654
92340,379,-195,1590
92352,156,725,1653
92392,371,459,1906
92432,398,-772,1538
92472,347,419,1885
92512,445,-304,1982
92552,569,-67,1528
92592,481,965,1710
92632,445,430,1733
92703,453,583,1952
92713,500,478,2009
92753,594,-581,1831
92792,371,-363,1812
92832,217,-249,1807
92895,227,1471,1502
92952,643,-102,1933
92967,686,68,1799
93014,261,83,1953
93033,183,-361,2012
93072,226,19,1559
93118,194,770,1829
93152,383,83,1911
93192,729,102,1761
93232,610,551,1533
93272,499,450,1943
93313,398,-91,1931
93352,473,821,1941
93392,-26,-810,2116
93433,530,442,1670
93496,457,488,1816
93513,442,461,1804
93553,384,-42,1700
93593,80,876,1921
93664,303,81,1447
93674,379,45,1471
93713,549,336,1823
93754,693,111,1640
93804,-3,-889,2201
93866,555,-149,1945
93876,499,224,1828
93913,471,151,1637
93956,-373,-386,2188
94041,213,226,2266
94046,237,89,2644
94073,723,44,1764
94113,771,432,1648
94154,370,-663,2070
94193,549,587,2000
94233,453,26,1763
94307,192,145,1621
94313,113,47,1573
94353,-885,-449,1868
94393,-45,1031,1729
94434,112,-234,2109
94473,714,400,1589
94514,726,-734,1326
94553,81,342,2378
94605,606,58,1998
94655,422,219,1712
94744,441,800,1858
94754,547,425,1648
94773,304,224,1782
94794,448,-84,1867
94833,563,-228,1623
94874,75,949,2045
94913,363,-485,1906
94954,505,217,1776
94993,338,139,1762
95034,514,-129,1849
95114,398,-89,2152
95123,409,-196,2126
95153,371,21,1869
95194,435,111,1583
95234,477,-55,1840
95288,512,110,1649
95344,371,-31,1860
95388,210,564,1820
95395,-43,888,2061
95434,244,-138,2150
95475,425,-64,1402
95548,525,-153,1728
95555,542,-129,1698
95594,587,65,1871
95634,606,255,1881
95675,282,-449,2330
95714,681,179,1837
95755,600,-208,1742
95794,572,87,1650
95835,360,161,1721
95905,313,132,1694
95949,171,324,1775
95956,248,601,1765
96018,-275,-286,2188
96077,76,-299,1568
96085,-32,-510,1537
96115,236,346,1524
96154,524,198,2066
96195,778,109,1650
96235,458,-854,2421
96299,790,279,1742
96315,739,990,1653
96355,632,-191,1825
96395,223,129,1913
96435,-63,435,1630
96475,-1049,-809,1967
96515,29,837,1490
96555,261,-163,1999
96626,729,-344,1399
96686,194,271,2412
96729,489,63,1653
96734,426,92,1824
96787,510,77,1745
96795,449,1,1688
